1	2
1	93
1	148
1	169
1	187
1	230
1	249
1	266
1	362
1	430
1	599
1	695
1	705
1	748
1	769
1	818
1	879
1	926
1	959
1	967
1	975
2	181
2	242
2	254
2	395
2	399
2	441
2	486
2	512
2	601
2	649
2	713
2	821
2	824
2	880
2	922
2	926
2	928
2	950
2	962
2	969
2	991
3	32
3	595
3	652
3	728
3	734
3	765
3	774
3	777
3	836
3	842
3	875
3	880
3	906
3	922
3	931
3	951
3	957
3	967
3	980
3	997
3	998
4	133
4	144
4	260
4	318
4	396
4	586
4	614
4	670
4	672
4	689
4	730
4	738
4	783
4	817
4	828
4	838
4	850
4	872
4	921
4	955
4	990
5	86
5	174
5	200
5	247
5	279
5	322
5	398
5	449
5	587
5	605
5	672
5	846
5	864
5	890
5	907
5	921
5	961
5	987
5	990
5	995
5	999
6	171
6	190
6	238
6	389
6	505
6	531
6	573
6	625
6	659
6	701
6	727
6	794
6	813
6	824
6	889
6	913
6	914
6	925
6	952
6	975
6	982
7	96
7	195
7	376
7	475
7	576
7	645
7	682
7	698
7	705
7	742
7	765
7	766
7	793
7	813
7	874
7	878
7	883
7	898
7	958
7	963
7	986
8	18
8	27
8	52
8	217
8	395
8	397
8	478
8	525
8	556
8	683
8	763
8	767
8	772
8	776
8	778
8	843
8	896
8	898
8	914
8	998
8	1000
9	125
9	193
9	313
9	484
9	518
9	588
9	608
9	626
9	639
9	660
9	761
9	766
9	833
9	851
9	899
9	918
9	920
9	979
9	982
9	985
9	995
10	136
10	404
10	420
10	501
10	528
10	616
10	628
10	645
10	646
10	764
10	765
10	774
10	794
10	802
10	811
10	834
10	910
10	913
10	922
10	959
10	980
11	95
11	174
11	241
11	257
11	327
11	338
11	389
11	510
11	584
11	675
11	680
11	707
11	737
11	836
11	850
11	859
11	861
11	869
11	880
11	885
11	998
12	8
12	508
12	510
12	557
12	606
12	678
12	724
12	739
12	845
12	886
12	892
12	911
12	918
12	938
12	967
12	975
12	979
12	980
12	993
12	995
12	996
13	62
13	210
13	455
13	500
13	558
13	586
13	707
13	711
13	744
13	748
13	750
13	780
13	791
13	816
13	834
13	904
13	918
13	953
13	971
13	980
13	999
14	19
14	135
14	183
14	184
14	218
14	360
14	400
14	515
14	581
14	603
14	605
14	713
14	822
14	865
14	902
14	909
14	926
14	929
14	972
14	989
14	997
15	24
15	141
15	216
15	332
15	370
15	426
15	466
15	496
15	640
15	644
15	692
15	702
15	724
15	756
15	786
15	857
15	859
15	924
15	970
15	991
15	992
16	25
16	52
16	82
16	153
16	266
16	323
16	397
16	480
16	515
16	521
16	583
16	643
16	734
16	759
16	815
16	824
16	896
16	897
16	914
16	916
16	1000
17	164
17	202
17	267
17	305
17	387
17	504
17	506
17	532
17	588
17	594
17	669
17	693
17	720
17	743
17	751
17	850
17	856
17	859
17	934
17	959
17	998
18	17
18	91
18	146
18	177
18	255
18	301
18	342
18	346
18	413
18	451
18	612
18	676
18	690
18	705
18	733
18	822
18	831
18	909
18	972
18	981
18	998
19	68
19	97
19	132
19	347
19	375
19	552
19	576
19	678
19	684
19	818
19	846
19	851
19	852
19	875
19	883
19	887
19	968
19	972
19	977
19	986
19	991
20	117
20	122
20	170
20	427
20	515
20	572
20	575
20	637
20	693
20	712
20	758
20	807
20	818
20	833
20	875
20	877
20	905
20	934
20	935
20	995
20	998
21	295
21	369
21	479
21	524
21	577
21	636
21	715
21	721
21	730
21	737
21	795
21	800
21	812
21	826
21	834
21	859
21	882
21	925
21	940
21	957
21	970
22	141
22	149
22	384
22	480
22	553
22	592
22	744
22	771
22	783
22	786
22	794
22	826
22	846
22	871
22	884
22	924
22	947
22	957
22	977
22	997
22	1000
23	228
23	252
23	300
23	412
23	579
23	611
23	633
23	654
23	761
23	763
23	788
23	812
23	853
23	870
23	907
23	911
23	929
23	946
23	958
23	964
23	967
24	22
24	133
24	144
24	361
24	437
24	480
24	485
24	545
24	755
24	773
24	786
24	793
24	822
24	824
24	850
24	909
24	924
24	959
24	966
24	996
24	997
25	64
25	80
25	282
25	385
25	428
25	482
25	533
25	617
25	632
25	646
25	665
25	736
25	766
25	772
25	778
25	820
25	878
25	896
25	995
25	998
25	1000
26	12
26	188
26	374
26	430
26	504
26	606
26	658
26	701
26	727
26	878
26	892
26	893
26	902
26	911
26	944
26	975
26	979
26	985
26	993
26	995
26	996
27	41
27	111
27	177
27	472
27	507
